date,winLoss
4/7/2017,1
4/8/2017,1
4/9/2017,1
4/11/2017,1
4/12/2017,0
4/13/2017,0
4/21/2017,0
4/22/2017,1
4/23/2017,0
4/24/2017,1
4/25/2017,1
4/26/2017,1
4/27/2017,1
5/5/2017,0
5/6/2017,1
5/7/2017,0
5/11/2017,0
5/12/2017,1
5/13/2017,0
5/14/2017,1
5/15/2017,1
5/16/2017,1
5/17/2017,1
5/29/2017,0
5/30/2017,1
5/31/2017,1
6/1/2017,0
6/2/2017,0
6/3/2017,1
6/4/2017,0
6/12/2017,0
6/13/2017,1
6/14/2017,1
6/15/2017,0
6/16/2017,0
6/17/2017,1
6/18/2017,0
6/28/2017,1
6/29/2017,0
6/30/2017,0
7/1/2017,1
7/2/2017,0
7/14/2017,0
7/15/2017,0
7/16/2017,1
7/18/2017,0
7/19/2017,1
7/21/2017,0
7/22/2017,1
7/23/2017,1
8/1/2017,1
8/2/2017,1
8/3/2017,1
8/4/2017,1
8/5/2017,0
8/6/2017,0
8/7/2017,0
8/8/2017,1
8/9/2017,1
8/21/2017,0
8/22/2017,1
8/23/2017,0
8/24/2017,0
8/25/2017,0
8/26/2017,1
8/27/2017,0
8/28/2017,1
8/29/2017,1
8/30/2017,1
9/12/2017,0
9/13/2017,1
9/14/2017,0
9/15/2017,1
9/16/2017,1
9/17/2017,0
9/19/2017,0
9/20/2017,0
9/21/2017,0
9/29/2017,1
9/30/2017,0
10/1/2017,1
