date,winLoss
4/4/2016,0
4/6/2016,0
4/8/2016,0
4/9/2016,0
4/10/2016,0
4/19/2016,1
4/20/2016,0
4/21/2016,0
4/22/2016,0
4/23/2016,0
4/24/2016,0
4/25/2016,0
4/26/2016,0
5/6/2016,0
5/7/2016,0
5/8/2016,0
5/10/2016,0
5/11/2016,1
5/12/2016,0
5/24/2016,0
5/25/2016,0
5/26/2016,0
5/27/2016,1
5/28/2016,1
5/29/2016,0
5/30/2016,1
5/31/2016,0
6/1/2016,1
6/2/2016,0
6/10/2016,1
6/11/2016,0
6/12/2016,0
6/13/2016,0
6/14/2016,0
6/15/2016,1
6/16/2016,1
6/23/2016,1
6/24/2016,0
6/25/2016,0
6/26/2016,1
6/27/2016,0
6/28/2016,0
6/29/2016,0
6/30/2016,1
7/1/2016,0
7/2/2016,1
7/15/2016,0
7/16/2016,0
7/17/2016,1
7/28/2016,0
7/29/2016,1
7/30/2016,0
7/31/2016,1
8/2/2016,0
8/3/2016,1
8/4/2016,1
8/16/2016,0
8/17/2016,0
8/18/2016,0
8/19/2016,0
8/20/2016,0
8/21/2016,1
8/30/2016,1
8/31/2016,1
9/1/2016,1
9/9/2016,0
9/10/2016,1
9/11/2016,0
9/12/2016,1
9/13/2016,0
9/14/2016,0
9/16/2016,0
9/17/2016,1
9/18/2016,1
9/27/2016,1
9/28/2016,1
9/29/2016,1
9/30/2016,0
10/1/2016,1
10/2/2016,1
