date,winLoss
4/5/2019,1
4/6/2019,1
4/7/2019,0
4/9/2019,1
4/10/2019,0
4/11/2019,0
4/12/2019,0
4/13/2019,0
4/14/2019,1
4/26/2019,1
4/27/2019,0
4/28/2019,0
4/30/2019,1
5/1/2019,1
5/9/2019,1
5/10/2019,0
5/11/2019,0
5/12/2019,0
5/13/2019,1
5/14/2019,0
5/15/2019,1
5/17/2019,1
5/18/2019,0
5/19/2019,0
5/31/2019,0
6/1/2019,1
6/2/2019,1
6/3/2019,0
6/4/2019,0
6/5/2019,1
6/18/2019,0
6/19/2019,0
6/20/2019,0
6/21/2019,0
6/22/2019,0
6/23/2019,1
6/24/2019,1
6/25/2019,0
6/26/2019,1
7/5/2019,1
7/6/2019,1
7/7/2019,1
7/18/2019,0
7/19/2019,1
7/20/2019,0
7/21/2019,0
7/22/2019,1
7/23/2019,0
7/24/2019,1
8/2/2019,0
8/3/2019,1
8/4/2019,1
8/5/2019,0
8/6/2019,1
8/7/2019,1
8/15/2019,0
8/16/2019,0
8/17/2019,0
8/18/2019,1
8/19/2019,1
8/20/2019,1
8/21/2019,0
8/29/2019,1
8/30/2019,1
8/31/2019,1
9/1/2019,0
9/2/2019,1
9/3/2019,1
9/4/2019,1
9/13/2019,0
9/14/2019,1
9/15/2019,0
9/16/2019,1
9/17/2019,0
9/18/2019,1
9/23/2019,0
9/24/2019,1
9/25/2019,1
9/27/2019,1
9/28/2019,1
9/29/2019,1
