date,winLoss
4/4/2016,1
4/6/2016,1
4/7/2016,1
4/8/2016,1
4/10/2016,1
4/19/2016,0
4/20/2016,1
4/21/2016,1
4/28/2016,1
4/29/2016,1
4/30/2016,0
5/1/2016,0
5/3/2016,1
5/4/2016,0
5/5/2016,1
5/7/2016,1
5/7/2016,0
5/8/2016,1
5/12/2016,1
5/13/2016,1
5/14/2016,1
5/15/2016,0
5/17/2016,0
5/18/2016,1
5/19/2016,0
5/30/2016,0
5/31/2016,0
6/1/2016,1
6/2/2016,1
6/3/2016,1
6/4/2016,0
6/5/2016,1
6/6/2016,1
6/7/2016,1
6/8/2016,1
6/17/2016,0
6/18/2016,1
6/19/2016,1
6/21/2016,0
6/22/2016,1
6/24/2016,1
6/25/2016,1
6/25/2016,1
6/26/2016,1
7/8/2016,0
7/9/2016,1
7/10/2016,1
7/22/2016,1
7/23/2016,1
7/24/2016,1
7/25/2016,1
7/26/2016,0
7/27/2016,0
8/2/2016,1
8/3/2016,1
8/4/2016,0
8/16/2016,0
8/17/2016,0
8/18/2016,1
8/19/2016,0
8/20/2016,0
8/21/2016,0
8/22/2016,1
8/23/2016,1
8/29/2016,0
8/30/2016,1
8/31/2016,0
9/2/2016,1
9/3/2016,1
9/4/2016,0
9/15/2016,0
9/16/2016,1
9/17/2016,0
9/18/2016,1
9/19/2016,0
9/20/2016,0
9/21/2016,0
9/22/2016,0
9/23/2016,1
9/24/2016,1
9/25/2016,1
