date,winLoss
4/3/2017,1
4/5/2017,1
4/11/2017,1
4/12/2017,0
4/13/2017,1
4/14/2017,0
4/15/2017,1
4/16/2017,1
4/17/2017,1
4/26/2017,0
4/27/2017,0
4/28/2017,1
4/29/2017,0
4/30/2017,1
5/1/2017,0
5/2/2017,1
5/3/2017,1
5/4/2017,0
5/12/2017,0
5/13/2017,1
5/14/2017,0
5/23/2017,1
5/24/2017,1
5/25/2017,1
5/26/2017,1
5/27/2017,1
5/28/2017,0
6/9/2017,1
6/10/2017,1
6/11/2017,0
6/12/2017,1
6/13/2017,1
6/23/2017,1
6/24/2017,0
6/25/2017,0
6/26/2017,1
6/27/2017,1
6/28/2017,0
6/29/2017,1
7/14/2017,1
7/15/2017,0
7/16/2017,1
7/16/2017,0
7/17/2017,0
7/18/2017,1
7/19/2017,1
7/20/2017,0
7/28/2017,0
7/29/2017,1
7/30/2017,0
7/31/2017,1
8/1/2017,1
8/3/2017,1
8/4/2017,1
8/5/2017,1
8/6/2017,1
8/14/2017,0
8/15/2017,1
8/16/2017,1
8/18/2017,1
8/19/2017,0
8/20/2017,1
8/25/2017,0
8/26/2017,0
8/27/2017,0
9/4/2017,0
9/5/2017,1
9/6/2017,1
9/8/2017,1
9/9/2017,1
9/10/2017,0
9/12/2017,1
9/13/2017,0
9/14/2017,1
9/25/2017,0
9/26/2017,0
9/27/2017,1
9/28/2017,0
9/29/2017,0
9/30/2017,1
10/1/2017,0
10/8/2017,1
10/9/2017,0
