date,winLoss
4/8/2019,1
4/10/2019,0
4/11/2019,1
4/12/2019,1
4/13/2019,0
4/19/2019,1
4/20/2019,0
4/21/2019,1
4/23/2019,1
4/24/2019,1
4/25/2019,0
5/3/2019,1
5/4/2019,1
5/5/2019,1
5/6/2019,0
5/7/2019,1
5/8/2019,1
5/9/2019,1
5/10/2019,0
5/11/2019,1
5/12/2019,1
5/20/2019,0
5/21/2019,1
5/22/2019,1
5/23/2019,0
5/24/2019,0
5/25/2019,1
5/26/2019,0
6/3/2019,1
6/4/2019,1
6/5/2019,1
6/6/2019,0
6/7/2019,1
6/8/2019,1
6/9/2019,1
6/18/2019,0
6/19/2019,1
6/20/2019,1
6/21/2019,0
6/22/2019,0
6/23/2019,1
6/24/2019,1
6/25/2019,0
6/26/2019,0
6/27/2019,1
7/12/2019,1
7/13/2019,1
7/14/2019,1
7/15/2019,0
7/16/2019,1
7/17/2019,1
7/19/2019,1
7/20/2019,1
7/21/2019,0
8/2/2019,1
8/3/2019,1
8/4/2019,1
8/5/2019,1
8/6/2019,0
8/7/2019,1
8/20/2019,1
8/21/2019,1
8/22/2019,1
8/23/2019,0
8/24/2019,0
8/25/2019,0
8/30/2019,1
8/31/2019,0
9/1/2019,0
9/2/2019,1
9/3/2019,1
9/13/2019,1
9/14/2019,1
9/15/2019,1
9/16/2019,1
9/17/2019,0
9/18/2019,0
9/19/2019,0
9/20/2019,0
9/21/2019,0
9/22/2019,0
