date,winLoss
4/8/2016,0
4/9/2016,1
4/18/2016,0
4/19/2016,1
4/20/2016,1
4/21/2016,0
4/22/2016,1
4/23/2016,1
4/24/2016,1
5/3/2016,1
5/4/2016,0
5/5/2016,0
5/6/2016,1
5/7/2016,1
5/8/2016,1
5/17/2016,0
5/18/2016,0
5/19/2016,1
5/20/2016,0
5/21/2016,0
5/22/2016,1
5/23/2016,0
5/23/2016,1
5/24/2016,0
5/25/2016,0
6/7/2016,0
6/8/2016,0
6/9/2016,1
6/10/2016,1
6/11/2016,0
6/12/2016,0
6/13/2016,1
6/14/2016,0
6/15/2016,1
6/24/2016,1
6/25/2016,0
6/26/2016,1
6/28/2016,0
6/29/2016,1
6/30/2016,1
7/4/2016,1
7/5/2016,0
7/6/2016,1
7/8/2016,0
7/9/2016,1
7/10/2016,0
7/21/2016,0
7/22/2016,0
7/23/2016,1
7/24/2016,1
7/25/2016,1
7/26/2016,1
8/5/2016,0
8/6/2016,1
8/7/2016,0
8/19/2016,0
8/20/2016,1
8/21/2016,1
8/23/2016,1
8/24/2016,0
8/25/2016,1
8/26/2016,0
8/27/2016,1
8/28/2016,1
9/5/2016,0
9/6/2016,1
9/7/2016,1
9/9/2016,1
9/10/2016,0
9/11/2016,0
9/12/2016,1
9/13/2016,1
9/14/2016,0
9/15/2016,1
9/26/2016,1
9/27/2016,1
9/28/2016,1
9/29/2016,0
9/30/2016,1
10/1/2016,0
10/2/2016,0
