date,winLoss
3/30/2018,0
3/31/2018,0
4/1/2018,0
4/2/2018,1
4/12/2018,0
4/13/2018,0
4/14/2018,0
4/15/2018,0
4/23/2018,1
4/24/2018,1
4/25/2018,0
4/26/2018,0
4/30/2018,0
5/1/2018,0
5/2/2018,0
5/4/2018,1
5/5/2018,0
5/6/2018,0
5/7/2018,0
5/8/2018,1
5/9/2018,1
5/18/2018,0
5/19/2018,0
5/19/2018,1
5/20/2018,0
5/22/2018,1
5/23/2018,0
5/24/2018,1
6/5/2018,0
6/6/2018,0
6/7/2018,1
6/8/2018,0
6/9/2018,0
6/10/2018,1
6/19/2018,1
6/20/2018,1
6/21/2018,1
6/22/2018,1
6/23/2018,1
6/24/2018,1
6/28/2018,0
6/29/2018,0
6/30/2018,1
7/1/2018,1
7/2/2018,1
7/3/2018,0
7/4/2018,1
7/20/2018,0
7/21/2018,0
7/22/2018,0
7/23/2018,1
7/24/2018,0
7/25/2018,1
7/26/2018,0
7/27/2018,1
7/28/2018,1
7/29/2018,1
8/10/2018,1
8/11/2018,1
8/12/2018,0
8/13/2018,0
8/14/2018,0
8/15/2018,0
8/17/2018,1
8/18/2018,1
8/19/2018,1
8/28/2018,1
8/29/2018,0
8/30/2018,0
9/6/2018,0
9/7/2018,1
9/8/2018,1
9/9/2018,0
9/10/2018,1
9/11/2018,1
9/12/2018,0
9/25/2018,0
9/26/2018,0
9/28/2018,0
9/29/2018,1
9/30/2018,0
