date,winLoss
4/1/2019,1
4/3/2019,0
4/4/2019,1
4/5/2019,1
4/6/2019,1
4/7/2019,1
4/20/2019,0
4/20/2019,1
4/21/2019,0
4/23/2019,0
4/24/2019,1
5/3/2019,1
5/4/2019,1
5/5/2019,0
5/6/2019,0
5/7/2019,0
5/8/2019,1
5/9/2019,1
5/16/2019,1
5/17/2019,0
5/18/2019,1
5/19/2019,1
5/20/2019,0
5/21/2019,0
5/22/2019,0
5/23/2019,0
5/24/2019,1
5/25/2019,0
5/26/2019,0
6/4/2019,1
6/5/2019,1
6/6/2019,0
6/7/2019,1
6/8/2019,1
6/9/2019,0
6/11/2019,1
6/12/2019,0
6/21/2019,1
6/22/2019,1
6/23/2019,1
6/24/2019,1
6/25/2019,0
6/26/2019,1
7/12/2019,0
7/13/2019,0
7/14/2019,1
7/15/2019,1
7/16/2019,1
7/17/2019,1
7/18/2019,1
7/19/2019,1
7/20/2019,0
7/21/2019,1
7/30/2019,0
7/31/2019,1
8/1/2019,0
8/2/2019,1
8/3/2019,1
8/4/2019,1
8/5/2019,0
8/7/2019,1
8/7/2019,1
8/12/2019,1
8/13/2019,0
8/14/2019,0
8/23/2019,1
8/24/2019,1
8/25/2019,0
9/2/2019,1
9/3/2019,0
9/4/2019,1
9/5/2019,0
9/14/2019,0
9/14/2019,0
9/15/2019,1
9/17/2019,1
9/18/2019,1
9/19/2019,1
9/20/2019,1
9/21/2019,0
9/22/2019,1
