date,winLoss
4/6/2018,0
4/7/2018,1
4/8/2018,0
4/9/2018,0
4/10/2018,0
4/11/2018,1
4/20/2018,0
4/21/2018,1
4/22/2018,0
4/23/2018,0
4/24/2018,1
4/25/2018,1
5/8/2018,1
5/9/2018,0
5/10/2018,0
5/11/2018,0
5/12/2018,1
5/13/2018,0
5/25/2018,1
5/26/2018,0
5/27/2018,1
5/28/2018,1
5/29/2018,1
5/30/2018,0
6/1/2018,0
6/2/2018,0
6/3/2018,0
6/8/2018,0
6/9/2018,0
6/10/2018,0
6/18/2018,0
6/19/2018,1
6/20/2018,1
6/21/2018,1
6/22/2018,1
6/23/2018,0
6/24/2018,0
7/2/2018,1
7/3/2018,1
7/4/2018,1
7/10/2018,0
7/11/2018,1
7/12/2018,1
7/13/2018,1
7/14/2018,1
7/15/2018,1
7/24/2018,0
7/25/2018,1
7/27/2018,1
7/28/2018,1
7/29/2018,1
8/6/2018,1
8/7/2018,0
8/8/2018,0
8/9/2018,0
8/10/2018,1
8/11/2018,1
8/12/2018,1
8/21/2018,0
8/22/2018,1
8/23/2018,1
8/24/2018,0
8/25/2018,1
8/26/2018,0
9/3/2018,1
9/4/2018,1
9/5/2018,1
9/7/2018,0
9/8/2018,1
9/9/2018,0
9/10/2018,1
9/11/2018,0
9/12/2018,1
9/13/2018,1
9/24/2018,1
9/25/2018,1
9/26/2018,1
9/27/2018,1
9/28/2018,1
9/29/2018,0
9/30/2018,1
10/7/2018,0
