date,winLoss
4/4/2019,1
4/6/2019,1
4/7/2019,1
4/9/2019,0
4/10/2019,1
4/11/2019,0
4/16/2019,0
4/17/2019,0
4/18/2019,1
4/19/2019,0
4/21/2019,1
5/3/2019,1
5/4/2019,0
5/5/2019,1
5/7/2019,0
5/8/2019,1
5/9/2019,0
5/13/2019,0
5/14/2019,0
5/15/2019,0
5/16/2019,0
5/17/2019,0
5/18/2019,0
5/21/2019,0
5/22/2019,0
5/23/2019,0
6/4/2019,1
6/5/2019,0
6/6/2019,0
6/7/2019,0
6/8/2019,1
6/9/2019,0
6/14/2019,0
6/15/2019,0
6/16/2019,0
6/25/2019,0
6/26/2019,0
6/27/2019,0
6/28/2019,0
6/29/2019,1
6/30/2019,0
7/5/2019,0
7/6/2019,0
7/7/2019,0
7/19/2019,0
7/20/2019,0
7/21/2019,1
7/23/2019,0
7/24/2019,0
8/5/2019,0
8/6/2019,1
8/6/2019,0
8/7/2019,0
8/8/2019,1
8/9/2019,1
8/10/2019,0
8/11/2019,0
8/13/2019,0
8/14/2019,1
8/15/2019,0
8/27/2019,0
8/28/2019,0
8/29/2019,0
8/30/2019,0
8/31/2019,1
9/1/2019,0
9/2/2019,0
9/6/2019,0
9/10/2019,1
9/12/2019,0
9/12/2019,0
9/13/2019,0
9/14/2019,1
9/15/2019,0
9/16/2019,1
9/20/2019,0
9/21/2019,0
9/22/2019,1
9/24/2019,0
9/25/2019,0
9/26/2019,0
