date,winLoss
4/5/2016,0
4/6/2016,0
4/15/2016,0
4/16/2016,0
4/17/2016,0
4/18/2016,1
4/19/2016,0
4/20/2016,0
4/21/2016,1
5/3/2016,1
5/4/2016,1
5/5/2016,1
5/6/2016,1
5/7/2016,0
5/8/2016,0
5/9/2016,1
5/10/2016,0
5/11/2016,1
5/20/2016,0
5/21/2016,1
5/22/2016,0
5/23/2016,1
5/24/2016,0
5/30/2016,0
5/31/2016,1
6/1/2016,1
6/2/2016,1
6/3/2016,0
6/4/2016,0
6/5/2016,1
6/17/2016,1
6/18/2016,1
6/19/2016,1
6/20/2016,0
6/21/2016,0
6/22/2016,1
6/23/2016,1
6/24/2016,0
6/25/2016,1
6/26/2016,1
7/8/2016,1
7/9/2016,1
7/10/2016,1
7/22/2016,0
7/23/2016,1
7/24/2016,0
7/25/2016,0
7/26/2016,1
7/27/2016,1
7/28/2016,0
7/29/2016,0
7/30/2016,1
7/31/2016,1
8/8/2016,0
8/9/2016,1
8/10/2016,0
8/12/2016,0
8/13/2016,0
8/14/2016,1
8/23/2016,0
8/24/2016,1
8/25/2016,0
8/26/2016,1
8/27/2016,0
8/28/2016,0
9/5/2016,0
9/6/2016,0
9/7/2016,1
9/9/2016,1
9/10/2016,0
9/11/2016,1
9/19/2016,1
9/20/2016,1
9/21/2016,0
9/22/2016,0
9/23/2016,0
9/24/2016,1
9/26/2016,1
9/27/2016,0
9/28/2016,0
