date,winLoss
4/11/2016,1
4/12/2016,0
4/13/2016,0
4/14/2016,0
4/15/2016,1
4/16/2016,0
4/17/2016,1
4/22/2016,0
4/23/2016,1
4/24/2016,0
5/2/2016,0
5/3/2016,1
5/4/2016,1
5/5/2016,0
5/6/2016,1
5/7/2016,0
5/8/2016,1
5/9/2016,1
5/10/2016,0
5/11/2016,1
5/20/2016,0
5/21/2016,0
5/22/2016,0
5/24/2016,1
5/25/2016,1
5/26/2016,1
6/1/2016,1
6/2/2016,0
6/3/2016,1
6/4/2016,1
6/5/2016,1
6/17/2016,0
6/18/2016,1
6/19/2016,1
6/20/2016,1
6/21/2016,1
6/22/2016,1
7/1/2016,1
7/2/2016,0
7/3/2016,0
7/4/2016,1
7/5/2016,1
7/6/2016,1
7/7/2016,0
7/8/2016,1
7/9/2016,0
7/10/2016,1
7/22/2016,1
7/23/2016,1
7/24/2016,1
7/25/2016,0
7/26/2016,0
7/27/2016,1
8/1/2016,1
8/2/2016,0
8/3/2016,0
8/4/2016,0
8/5/2016,1
8/6/2016,0
8/7/2016,0
8/16/2016,0
8/17/2016,0
8/26/2016,1
8/27/2016,1
8/28/2016,0
8/29/2016,1
8/30/2016,1
8/31/2016,1
9/9/2016,0
9/10/2016,1
9/11/2016,0
9/12/2016,0
9/13/2016,0
9/14/2016,1
9/22/2016,0
9/23/2016,0
9/24/2016,0
9/25/2016,1
9/26/2016,0
9/27/2016,1
9/28/2016,0
