date,winLoss
3/28/2019,1
3/30/2019,1
3/31/2019,0
4/2/2019,0
4/3/2019,0
4/8/2019,0
4/9/2019,0
4/10/2019,0
4/11/2019,0
4/12/2019,1
4/13/2019,1
4/14/2019,1
4/26/2019,0
4/27/2019,1
4/28/2019,0
4/29/2019,0
5/1/2019,1
5/1/2019,1
5/2/2019,0
5/10/2019,1
5/11/2019,0
5/12/2019,0
5/14/2019,1
5/15/2019,0
5/16/2019,0
5/25/2019,0
5/25/2019,0
5/26/2019,1
6/4/2019,0
6/5/2019,0
6/6/2019,0
6/7/2019,1
6/8/2019,0
6/9/2019,0
6/11/2019,1
6/12/2019,0
6/20/2019,1
6/21/2019,0
6/22/2019,0
6/23/2019,1
7/2/2019,0
7/3/2019,0
7/4/2019,0
7/12/2019,1
7/13/2019,1
7/14/2019,0
7/15/2019,1
7/16/2019,1
7/17/2019,1
7/18/2019,1
7/25/2019,0
7/26/2019,0
7/27/2019,0
7/28/2019,1
7/29/2019,0
7/30/2019,0
7/31/2019,0
8/13/2019,0
8/14/2019,0
8/16/2019,1
8/17/2019,0
8/18/2019,0
8/26/2019,0
8/27/2019,0
8/28/2019,1
8/29/2019,0
8/30/2019,0
8/31/2019,1
9/1/2019,1
9/3/2019,1
9/4/2019,1
9/5/2019,0
9/13/2019,0
9/14/2019,0
9/15/2019,0
9/24/2019,1
9/25/2019,0
9/27/2019,0
9/28/2019,0
9/29/2019,1
