date,winLoss
3/28/2019,1
3/29/2019,0
3/30/2019,1
3/31/2019,1
4/1/2019,0
4/2/2019,1
4/3/2019,1
4/12/2019,0
4/13/2019,0
4/14/2019,1
4/15/2019,1
4/16/2019,1
4/17/2019,1
4/26/2019,1
4/27/2019,1
4/28/2019,1
5/6/2019,1
5/7/2019,1
5/8/2019,1
5/9/2019,0
5/10/2019,1
5/11/2019,0
5/12/2019,1
5/14/2019,1
5/15/2019,1
5/27/2019,1
5/28/2019,0
5/29/2019,1
5/30/2019,1
5/31/2019,1
6/1/2019,1
6/2/2019,1
6/13/2019,1
6/14/2019,1
6/15/2019,0
6/16/2019,1
6/17/2019,0
6/18/2019,1
6/19/2019,1
6/20/2019,1
6/21/2019,1
6/22/2019,1
6/23/2019,1
7/2/2019,1
7/3/2019,1
7/4/2019,1
7/5/2019,0
7/6/2019,0
7/7/2019,0
7/19/2019,1
7/20/2019,1
7/21/2019,1
7/23/2019,0
7/24/2019,0
8/1/2019,1
8/2/2019,0
8/3/2019,1
8/4/2019,1
8/5/2019,1
8/6/2019,1
8/7/2019,1
8/9/2019,0
8/10/2019,1
8/11/2019,1
8/20/2019,1
8/21/2019,1
8/22/2019,1
8/23/2019,0
8/24/2019,1
8/25/2019,0
9/2/2019,1
9/3/2019,1
9/4/2019,1
9/6/2019,0
9/7/2019,0
9/8/2019,1
9/17/2019,1
9/18/2019,0
9/20/2019,1
9/21/2019,0
9/22/2019,1
10/3/2019,1
10/4/2019,0
10/9/2019,0
