date,winLoss
4/2/2018,0
4/3/2018,1
4/4/2018,0
4/5/2018,0
4/6/2018,1
4/7/2018,0
4/8/2018,0
4/16/2018,0
4/17/2018,1
4/18/2018,1
4/19/2018,1
4/20/2018,1
4/21/2018,1
4/22/2018,1
5/4/2018,0
5/5/2018,1
5/6/2018,0
5/8/2018,1
5/9/2018,0
5/21/2018,1
5/22/2018,1
5/23/2018,1
5/24/2018,0
5/25/2018,1
5/26/2018,1
5/27/2018,1
5/28/2018,1
5/29/2018,0
5/30/2018,1
6/11/2018,0
6/12/2018,1
6/13/2018,1
6/15/2018,1
6/16/2018,0
6/17/2018,0
6/21/2018,1
6/22/2018,1
6/23/2018,0
6/24/2018,0
6/26/2018,1
6/27/2018,0
7/2/2018,1
7/3/2018,1
7/4/2018,1
7/5/2018,1
7/6/2018,1
7/7/2018,0
7/8/2018,1
7/20/2018,0
7/21/2018,1
7/22/2018,0
7/23/2018,1
7/24/2018,1
7/25/2018,0
8/3/2018,1
8/4/2018,1
8/5/2018,0
8/7/2018,0
8/8/2018,1
8/9/2018,0
8/20/2018,1
8/21/2018,0
8/22/2018,1
8/24/2018,1
8/25/2018,0
8/26/2018,1
9/3/2018,1
9/4/2018,1
9/5/2018,0
9/7/2018,1
9/8/2018,1
9/9/2018,1
9/14/2018,1
9/15/2018,0
9/16/2018,0
9/17/2018,1
9/18/2018,0
9/19/2018,1
9/28/2018,1
9/29/2018,1
9/30/2018,1
10/4/2018,1
10/5/2018,1
10/12/2018,1
10/13/2018,0
10/19/2018,1
10/20/2018,0
