date ,winLoss
4/5/2018,1
4/7/2018,0
4/9/2018,0
4/10/2018,1
4/11/2018,1
4/12/2018,1
4/27/2018,0
4/28/2018,1
4/29/2018,0
4/30/2018,0
5/1/2018,0
5/2/2018,1
5/14/2018,0
5/15/2018,1
5/16/2018,0
5/18/2018,0
5/19/2018,0
5/20/2018,1
5/21/2018,1
5/22/2018,1
5/23/2018,0
5/31/2018,0
6/1/2018,1
6/2/2018,1
6/3/2018,1
6/5/2018,0
6/5/2018,1
6/6/2018,0
6/7/2018,1
6/8/2018,0
6/9/2018,0
6/10/2018,1
6/19/2018,1
6/20/2018,1
6/21/2018,0
6/22/2018,0
6/23/2018,0
6/24/2018,1
7/5/2018,1
7/6/2018,1
7/7/2018,1
7/8/2018,1
7/9/2018,1
7/10/2018,0
7/11/2018,1
7/12/2018,1
7/13/2018,1
7/14/2018,0
7/15/2018,1
7/30/2018,1
7/31/2018,0
8/1/2018,0
8/3/2018,1
8/4/2018,1
8/5/2018,1
8/14/2018,1
8/15/2018,1
8/16/2018,1
8/17/2018,1
8/18/2018,0
8/19/2018,1
8/20/2018,0
8/23/2018,1
8/24/2018,0
8/25/2018,0
8/26/2018,0
9/7/2018,1
9/8/2018,0
9/9/2018,1
9/10/2018,0
9/11/2018,1
9/12/2018,1
9/25/2018,0
9/26/2018,1
9/27/2018,1
9/28/2018,1
9/28/2018,1
9/29/2018,1
9/30/2018,1
