date,winLoss
4/5/2016,0
4/6/2016,1
4/7/2016,1
4/15/2016,0
4/16/2016,0
4/17/2016,1
4/19/2016,0
4/20/2016,0
4/21/2016,0
4/22/2016,1
4/23/2016,1
4/24/2016,0
5/6/2016,1
5/7/2016,1
5/8/2016,0
5/9/2016,1
5/10/2016,1
5/11/2016,0
5/12/2016,1
5/13/2016,0
5/14/2016,1
5/15/2016,1
5/24/2016,1
5/25/2016,0
5/26/2016,0
6/6/2016,1
6/7/2016,1
6/8/2016,1
6/9/2016,1
6/10/2016,1
6/11/2016,0
6/12/2016,0
6/21/2016,0
6/22/2016,1
6/24/2016,1
6/25/2016,1
6/26/2016,0
6/27/2016,0
6/28/2016,0
6/29/2016,1
6/30/2016,1
7/15/2016,0
7/16/2016,0
7/17/2016,1
7/18/2016,1
7/19/2016,1
7/20/2016,1
7/21/2016,0
7/22/2016,1
7/23/2016,0
7/24/2016,1
8/3/2016,1
8/4/2016,0
8/5/2016,1
8/6/2016,0
8/7/2016,1
8/12/2016,1
8/13/2016,1
8/14/2016,0
8/15/2016,1
8/16/2016,0
8/17/2016,0
8/26/2016,1
8/27/2016,1
8/28/2016,0
9/5/2016,1
9/6/2016,1
9/7/2016,1
9/8/2016,1
9/9/2016,1
9/10/2016,1
9/11/2016,0
9/12/2016,0
9/13/2016,1
9/14/2016,0
9/27/2016,1
9/28/2016,1
9/29/2016,1
9/30/2016,0
10/1/2016,1
10/2/2016,0
