date,winLoss
4/3/2017,1
4/4/2017,0
4/5/2017,0
4/6/2017,1
4/14/2017,0
4/15/2017,0
4/17/2017,0
4/18/2017,1
4/19/2017,1
4/20/2017,1
4/21/2017,1
4/22/2017,1
4/23/2017,0
5/5/2017,0
5/6/2017,1
5/7/2017,1
5/8/2017,1
5/9/2017,0
5/10/2017,1
5/18/2017,1
5/19/2017,1
5/20/2017,1
5/21/2017,0
5/23/2017,0
5/24/2017,1
6/2/2017,0
6/3/2017,1
6/4/2017,0
6/5/2017,1
6/6/2017,1
6/7/2017,0
6/15/2017,1
6/16/2017,1
6/17/2017,1
6/18/2017,1
6/19/2017,0
6/20/2017,0
6/21/2017,0
6/22/2017,0
6/30/2017,0
7/1/2017,0
7/2/2017,0
7/3/2017,0
7/4/2017,1
7/5/2017,1
7/14/2017,1
7/15/2017,1
7/16/2017,1
7/17/2017,0
7/18/2017,0
7/19/2017,1
7/28/2017,0
7/29/2017,1
7/30/2017,1
7/31/2017,1
8/1/2017,0
8/8/2017,0
8/9/2017,0
8/10/2017,0
8/11/2017,1
8/12/2017,0
8/13/2017,1
8/14/2017,0
8/15/2017,1
8/16/2017,0
8/25/2017,1
8/26/2017,1
8/27/2017,1
9/4/2017,0
9/5/2017,0
9/6/2017,1
9/8/2017,1
9/9/2017,1
9/9/2017,1
9/10/2017,1
9/22/2017,1
9/23/2017,1
9/24/2017,1
9/25/2017,0
9/26/2017,0
9/27/2017,1
