date,winLoss
4/7/2017,0
4/8/2017,1
4/9/2017,1
4/10/2017,0
4/11/2017,0
4/12/2017,0
4/21/2017,1
4/22/2017,1
4/23/2017,1
4/26/2017,1
4/27/2017,1
5/5/2017,0
5/6/2017,0
5/7/2017,1
5/9/2017,0
5/10/2017,0
5/22/2017,0
5/23/2017,0
5/24/2017,0
5/25/2017,1
5/26/2017,0
5/27/2017,1
5/28/2017,0
6/2/2017,0
6/3/2017,1
6/4/2017,1
6/14/2017,0
6/15/2017,1
6/16/2017,0
6/17/2017,0
6/18/2017,0
6/20/2017,0
6/21/2017,0
6/22/2017,1
7/3/2017,1
7/4/2017,0
7/5/2017,0
7/6/2017,0
7/7/2017,0
7/8/2017,0
7/9/2017,1
7/21/2017,1
7/22/2017,0
7/23/2017,1
7/24/2017,0
7/25/2017,0
7/26/2017,1
7/28/2017,1
7/29/2017,1
7/30/2017,1
7/31/2017,1
8/10/2017,0
8/11/2017,0
8/12/2017,1
8/13/2017,0
8/22/2017,0
8/22/2017,0
8/23/2017,1
8/24/2017,0
8/25/2017,1
8/26/2017,0
8/27/2017,1
8/28/2017,1
8/30/2017,0
8/30/2017,0
9/12/2017,1
9/13/2017,1
9/14/2017,1
9/15/2017,0
9/16/2017,1
9/17/2017,0
9/18/2017,1
9/19/2017,1
9/20/2017,1
9/21/2017,0
9/25/2017,0
9/26/2017,1
9/27/2017,1
9/29/2017,1
9/30/2017,0
10/1/2017,1
