date,winLoss
4/1/2019,0
4/3/2019,0
4/4/2019,1
4/5/2019,1
4/6/2019,1
4/7/2019,1
4/19/2019,1
4/20/2019,1
4/21/2019,0
4/22/2019,0
4/23/2019,0
4/24/2019,0
4/25/2019,0
5/3/2019,0
5/4/2019,1
5/5/2019,1
5/7/2019,1
5/8/2019,0
5/21/2019,0
5/22/2019,0
5/23/2019,1
5/24/2019,0
5/25/2019,0
5/26/2019,0
5/30/2019,0
5/31/2019,1
6/1/2019,0
6/2/2019,0
6/4/2019,0
6/5/2019,1
6/6/2019,1
6/18/2019,0
6/19/2019,1
6/21/2019,1
6/22/2019,1
6/23/2019,1
7/1/2019,1
7/2/2019,1
7/3/2019,1
7/4/2019,0
7/5/2019,0
7/6/2019,1
7/7/2019,1
7/19/2019,0
7/20/2019,1
7/21/2019,0
7/22/2019,0
7/23/2019,0
7/24/2019,0
7/25/2019,0
8/2/2019,1
8/3/2019,0
8/4/2019,0
8/5/2019,0
8/6/2019,0
8/7/2019,0
8/16/2019,1
8/17/2019,0
8/19/2019,0
8/20/2019,1
8/21/2019,0
8/22/2019,0
8/23/2019,1
8/24/2019,1
8/25/2019,1
9/3/2019,0
9/4/2019,1
9/5/2019,0
9/6/2019,1
9/7/2019,0
9/8/2019,0
9/17/2019,0
9/18/2019,0
9/19/2019,0
9/24/2019,1
9/25/2019,1
9/26/2019,1
9/27/2019,1
9/28/2019,0
9/29/2019,0
