date,winLoss
4/4/2016,0
4/5/2016,0
4/6/2016,0
4/15/2016,0
4/16/2016,1
4/17/2016,0
4/19/2016,1
4/20/2016,1
4/21/2016,0
4/22/2016,1
4/23/2016,0
4/24/2016,0
5/2/2016,1
5/3/2016,1
5/4/2016,0
5/5/2016,1
5/6/2016,1
5/7/2016,0
5/8/2016,0
5/17/2016,0
5/18/2016,0
5/19/2016,0
5/20/2016,1
5/21/2016,1
5/22/2016,0
6/1/2016,1
6/2/2016,0
6/3/2016,1
6/4/2016,1
6/5/2016,0
6/6/2016,1
6/7/2016,1
6/8/2016,0
6/13/2016,0
6/14/2016,0
6/15/2016,1
6/16/2016,0
6/17/2016,0
6/18/2016,1
6/19/2016,1
6/28/2016,0
6/29/2016,0
7/1/2016,1
7/2/2016,1
7/3/2016,0
7/15/2016,1
7/16/2016,1
7/17/2016,1
7/29/2016,0
7/30/2016,1
7/31/2016,0
8/1/2016,1
8/2/2016,0
8/3/2016,1
8/5/2016,0
8/6/2016,1
8/7/2016,0
8/18/2016,1
8/19/2016,1
8/20/2016,0
8/21/2016,1
8/22/2016,0
8/23/2016,0
8/24/2016,0
9/5/2016,1
9/6/2016,0
9/7/2016,0
9/8/2016,1
9/9/2016,0
9/10/2016,1
9/11/2016,0
9/19/2016,1
9/20/2016,1
9/21/2016,0
9/22/2016,0
9/23/2016,1
9/24/2016,0
9/25/2016,1
9/27/2016,1
9/28/2016,1
9/29/2016,0
