date,winLoss
3/28/2019,1
3/29/2019,0
3/30/2019,1
3/31/2019,1
4/1/2019,1
4/2/2019,1
4/12/2019,0
4/13/2019,0
4/14/2019,0
4/15/2019,0
4/16/2019,0
4/17/2019,0
4/25/2019,1
4/26/2019,1
4/27/2019,0
4/28/2019,0
4/30/2019,0
5/1/2019,0
5/13/2019,1
5/14/2019,1
5/16/2019,0
5/17/2019,0
5/18/2019,0
5/19/2019,1
5/27/2019,1
5/28/2019,0
5/29/2019,0
5/30/2019,0
5/31/2019,1
6/1/2019,0
6/2/2019,0
6/3/2019,0
6/4/2019,0
6/5/2019,1
6/6/2019,0
6/17/2019,0
6/18/2019,0
6/19/2019,1
6/20/2019,1
6/21/2019,1
6/22/2019,0
6/23/2019,1
7/2/2019,1
7/3/2019,0
7/4/2019,0
7/5/2019,0
7/6/2019,1
7/7/2019,0
7/19/2019,1
7/20/2019,0
7/21/2019,0
7/22/2019,1
7/23/2019,0
7/24/2019,1
7/25/2019,1
7/26/2019,1
7/27/2019,1
7/28/2019,1
8/6/2019,0
8/7/2019,1
8/9/2019,0
8/10/2019,0
8/11/2019,0
8/23/2019,1
8/24/2019,0
8/25/2019,1
8/26/2019,0
8/27/2019,0
8/28/2019,0
9/10/2019,1
9/11/2019,1
9/12/2019,0
9/13/2019,0
9/14/2019,1
9/15/2019,1
9/24/2019,0
9/25/2019,0
9/26/2019,0
9/27/2019,1
9/28/2019,0
9/29/2019,1
