date,winLoss
4/10/2017,1
4/11/2017,0
4/12/2017,1
4/13/2017,0
4/14/2017,1
4/15/2017,0
4/16/2017,0
4/24/2017,1
4/25/2017,0
4/26/2017,1
4/27/2017,0
4/28/2017,1
4/29/2017,0
4/30/2017,0
5/11/2017,0
5/12/2017,1
5/13/2017,1
5/14/2017,1
5/15/2017,1
5/16/2017,1
5/17/2017,0
5/26/2017,0
5/27/2017,1
5/28/2017,1
5/29/2017,0
5/30/2017,0
5/31/2017,0
6/9/2017,0
6/10/2017,0
6/11/2017,1
6/13/2017,0
6/14/2017,0
6/23/2017,0
6/24/2017,0
6/25/2017,0
6/26/2017,1
6/27/2017,1
6/28/2017,1
7/7/2017,0
7/8/2017,0
7/9/2017,0
7/17/2017,0
7/18/2017,1
7/19/2017,1
7/20/2017,0
7/21/2017,0
7/22/2017,1
7/23/2017,0
7/24/2017,0
7/25/2017,1
7/26/2017,1
8/2/2017,0
8/3/2017,1
8/4/2017,0
8/5/2017,1
8/6/2017,1
8/7/2017,0
8/8/2017,1
8/9/2017,1
8/17/2017,1
8/18/2017,1
8/19/2017,0
8/20/2017,0
8/21/2017,1
8/22/2017,0
8/23/2017,1
8/31/2017,0
9/1/2017,0
9/2/2017,1
9/3/2017,0
9/11/2017,1
9/12/2017,0
9/13/2017,0
9/15/2017,0
9/16/2017,0
9/17/2017,1
9/19/2017,1
9/20/2017,1
9/29/2017,1
9/30/2017,0
10/1/2017,1
