date,winLoss
4/2/2017,1
4/4/2017,0
4/5/2017,1
4/6/2017,0
4/7/2017,1
4/8/2017,1
4/9/2017,1
4/18/2017,1
4/19/2017,1
4/20/2017,1
4/21/2017,0
4/22/2017,1
4/23/2017,0
5/3/2017,0
5/4/2017,1
5/5/2017,0
5/6/2017,1
5/7/2017,0
5/8/2017,0
5/9/2017,0
5/10/2017,1
5/11/2017,0
5/19/2017,1
5/20/2017,1
5/21/2017,0
5/22/2017,0
5/23/2017,0
5/24/2017,1
5/25/2017,1
6/6/2017,0
6/7/2017,1
6/8/2017,1
6/9/2017,1
6/10/2017,0
6/10/2017,1
6/11/2017,1
6/19/2017,0
6/20/2017,1
6/21/2017,1
6/23/2017,1
6/24/2017,0
6/25/2017,0
7/6/2017,1
7/7/2017,0
7/8/2017,1
7/9/2017,1
7/21/2017,0
7/22/2017,0
7/23/2017,0
7/24/2017,0
7/25/2017,1
7/26/2017,1
8/4/2017,0
8/5/2017,0
8/6/2017,1
8/8/2017,0
8/9/2017,0
8/10/2017,1
8/11/2017,0
8/12/2017,0
8/13/2017,0
8/18/2017,0
8/19/2017,0
8/20/2017,1
8/22/2017,1
8/23/2017,0
8/24/2017,1
9/4/2017,1
9/5/2017,1
9/6/2017,0
9/11/2017,0
9/12/2017,1
9/13/2017,0
9/15/2017,0
9/16/2017,0
9/17/2017,1
9/19/2017,0
9/20/2017,1
9/29/2017,1
9/30/2017,1
10/1/2017,1
