date,winLoss
4/4/2016,1
4/5/2016,0
4/6/2016,0
4/14/2016,1
4/15/2016,0
4/16/2016,1
4/19/2016,1
4/20/2016,1
4/21/2016,1
4/25/2016,0
4/26/2016,1
4/27/2016,1
4/29/2016,1
4/30/2016,1
5/1/2016,0
5/9/2016,0
5/10/2016,1
5/11/2016,1
5/13/2016,0
5/14/2016,1
5/15/2016,1
5/23/2016,0
5/24/2016,1
5/25/2016,1
5/27/2016,0
5/28/2016,1
5/29/2016,1
6/3/2016,1
6/4/2016,1
6/5/2016,1
6/6/2016,1
6/7/2016,1
6/8/2016,0
6/9/2016,1
6/20/2016,1
6/21/2016,0
6/22/2016,1
6/24/2016,0
6/25/2016,1
6/26/2016,1
7/7/2016,0
7/8/2016,1
7/9/2016,0
7/10/2016,0
7/25/2016,1
7/26/2016,0
7/27/2016,0
7/28/2016,1
7/29/2016,1
7/30/2016,1
7/31/2016,1
8/10/2016,1
8/11/2016,0
8/12/2016,1
8/13/2016,0
8/14/2016,0
8/15/2016,1
8/16/2016,1
8/17/2016,1
8/25/2016,1
8/26/2016,0
8/27/2016,1
8/28/2016,1
8/29/2016,1
8/30/2016,1
8/31/2016,1
9/2/2016,1
9/3/2016,1
9/4/2016,0
9/16/2016,1
9/17/2016,0
9/18/2016,0
9/19/2016,1
9/20/2016,1
9/21/2016,0
9/26/2016,0
9/27/2016,1
9/28/2016,1
9/30/2016,1
10/1/2016,0
10/2/2016,0
10/6/2016,0
10/7/2016,0
