date,winLoss
3/28/2019,0
3/29/2019,1
3/30/2019,1
3/31/2019,0
4/1/2019,0
4/2/2019,0
4/3/2019,1
4/12/2019,0
4/13/2019,1
4/14/2019,0
4/23/2019,0
4/24/2019,0
4/26/2019,1
4/27/2019,1
4/28/2019,1
5/6/2019,0
5/7/2019,0
5/8/2019,0
5/10/2019,1
5/11/2019,0
5/12/2019,0
5/20/2019,0
5/21/2019,1
5/22/2019,0
5/23/2019,0
5/24/2019,0
5/25/2019,0
5/26/2019,1
6/4/2019,1
6/5/2019,1
6/6/2019,0
6/7/2019,0
6/8/2019,0
6/9/2019,0
6/17/2019,0
6/18/2019,0
6/19/2019,0
6/20/2019,1
6/28/2019,1
6/29/2019,1
6/30/2019,0
7/1/2019,1
7/2/2019,0
7/3/2019,1
7/4/2019,0
7/5/2019,0
7/6/2019,0
7/7/2019,1
7/22/2019,0
7/23/2019,1
7/24/2019,0
7/26/2019,0
7/27/2019,1
7/28/2019,0
8/8/2019,0
8/9/2019,1
8/10/2019,1
8/11/2019,0
8/12/2019,1
8/13/2019,1
8/14/2019,0
8/16/2019,1
8/17/2019,0
8/18/2019,0
8/27/2019,1
8/28/2019,0
8/30/2019,0
8/31/2019,1
9/1/2019,0
9/10/2019,1
9/11/2019,1
9/12/2019,0
9/13/2019,1
9/14/2019,0
9/15/2019,1
9/23/2019,1
9/24/2019,0
9/25/2019,1
9/27/2019,0
9/28/2019,1
9/29/2019,1
