date,winLoss
3/28/2019,0
3/30/2019,0
3/31/2019,1
4/2/2019,0
4/3/2019,1
4/12/2019,0
4/13/2019,1
4/14/2019,0
4/16/2019,0
4/17/2019,1
4/18/2019,1
4/26/2019,0
4/27/2019,0
4/28/2019,1
4/29/2019,0
4/30/2019,0
5/1/2019,0
5/2/2019,1
5/14/2019,0
5/15/2019,1
5/16/2019,1
5/17/2019,0
5/18/2019,1
5/19/2019,0
5/24/2019,1
5/25/2019,1
5/26/2019,1
5/27/2019,0
6/4/2019,1
6/5/2019,1
6/13/2019,0
6/14/2019,1
6/15/2019,0
6/16/2019,1
6/19/2019,1
6/19/2019,1
6/20/2019,1
6/21/2019,1
6/22/2019,0
6/23/2019,0
7/2/2019,1
7/3/2019,1
7/4/2019,1
7/5/2019,0
7/6/2019,1
7/7/2019,1
7/23/2019,1
7/24/2019,1
7/24/2019,1
7/25/2019,0
7/26/2019,0
7/27/2019,0
7/28/2019,1
7/29/2019,1
7/30/2019,0
7/31/2019,0
8/12/2019,1
8/13/2019,1
8/14/2019,1
8/16/2019,1
8/17/2019,0
8/18/2019,1
8/27/2019,0
8/28/2019,1
8/30/2019,1
8/31/2019,1
9/1/2019,1
9/2/2019,0
9/3/2019,1
9/4/2019,0
9/13/2019,0
9/14/2019,0
9/15/2019,1
9/23/2019,1
9/24/2019,1
9/24/2019,1
9/25/2019,1
9/26/2019,1
9/27/2019,1
9/28/2019,1
9/29/2019,1
10/1/2019,1
10/6/2019,0
10/7/2019,1
10/14/2019,1
10/15/2019,1
10/25/2019,0
10/26/2019,0
10/27/2019,0
