Team,Date,WinLoss,HapSen,SadSen,GenSen,PosPol,NeuPol,NegPol,ComPol,YesCog,NoCog
ANA,2018-04-02,0,"4232
","1611
","5843
","16152
","508
","21216
","11909
","31
","30888
"
ANA,2018-04-03,1,"4252
","2011
","6263
","18265
","529
","23175
","13324
","26
","34259
"
ANA,2018-04-04,1,"4530
","1858
","6388
","18099
","471
","23534
","13458
","20
","33985
"
ANA,2018-04-06,1,"4260
","1709
","5969
","16620
","486
","21749
","11992
","23
","32082
"
ANA,2018-04-07,0,"4015
","1604
","5619
","16867
","623
","21906
","12475
","24
","31803
"
ANA,2018-04-08,1,"3923
","1551
","5474
","16490
","513
","21207
","12185
","27
","30998
"
ANA,2018-04-17,0,"4585
","1784
","6369
","17219
","573
","22756
","12781
","30
","32842
"
ANA,2018-04-18,0,"4486
","1787
","6273
","17782
","614
","23280
","13153
","26
","33488
"
ANA,2018-04-19,0,"4530
","1792
","6322
","17496
","533
","23051
","12840
","19
","33231
"
ANA,2018-04-20,0,"4709
","1998
","6707
","18098
","577
","23989
","13263
","27
","34665
"
ANA,2018-04-21,1,"3961
","1508
","5469
","16962
","519
","22338
","12842
","19
","31223
"
ANA,2018-04-22,0,"4268
","1522
","5790
","16873
","534
","22894
","12826
","28
","32010
"
ANA,2018-04-27,0,"4765
","1975
","6740
","19026
","557
","24546
","13596
","33
","36256
"
ANA,2018-04-28,0,"4187
","1536
","5723
","17376
","618
","22826
","12904
","30
","32797
"
ANA,2018-04-29,0,"4069
","1483
","5552
","17114
","513
","22623
","12650
","26
","33000
"
ANA,2018-05-01,1,"4694
","1886
","6580
","17427
","514
","22585
","12577
","25
","33356
"
ANA,2018-05-02,1,"4306
","1759
","6065
","17421
","488
","22458
","12629
","34
","33056
"
ANA,2018-05-03,1,"4570
","1763
","6333
","17275
","517
","22692
","12666
","23
","33055
"
ANA,2018-05-11,0,"1196
","423
","1619
","4461
","112
","6011
","3259
","10
","8758
"
ANA,2018-05-12,0,"3997
","1656
","5653
","15852
","495
","20947
","11952
","20
","29826
"
ANA,2018-05-13,1,"4583
","1511
","6094
","15483
","501
","21752
","11628
","23
","30428
"
ANA,2018-05-14,1,"4190
","1619
","5809
","15551
","485
","20841
","11501
","20
","30029
"
ANA,2018-05-15,0,"3298
","1353
","4651
","12761
","381
","16377
","9387
","20
","24021
"
ANA,2018-05-16,0,"2101
","757
","2858
","7559
","249
","9641
","5491
","11
","14325
"
ANA,2018-05-17,0,"4280
","1808
","6088
","16641
","583
","21187
","12001
","20
","31748
"
ANA,2018-05-18,0,"4094
","1868
","5962
","16035
","549
","20327
","11418
","21
","31033
"
ANA,2018-05-19,0,"3946
","1608
","5554
","14803
","602
","18974
","10674
","25
","28334
"
ANA,2018-05-20,1,"3604
","1451
","5055
","14178
","470
","18273
","10376
","22
","26978
"
ANA,2018-06-01,1,"4726
","1853
","6579
","17888
","542
","22423
","12715
","30
","33916
"
ANA,2018-06-02,0,"4008
","1560
","5568
","14875
","500
","19255
","10839
","21
","28620
"
ANA,2018-06-03,1,"3870
","1460
","5330
","14947
","556
","19340
","10990
","19
","28384
"
ANA,2018-06-04,1,"3853
","1687
","5540
","15493
","452
","20033
","11093
","24
","30063
"
ANA,2018-06-05,1,"4188
","1851
","6039
","16314
","491
","20913
","11613
","23
","31817
"
ANA,2018-06-06,1,"4127
","1746
","5873
","16092
","509
","20818
","11598
","29
","31510
"
ANA,2018-06-18,0,"4322
","1986
","6308
","18750
","515
","23198
","13224
","43
","35500
"
ANA,2018-06-19,1,"4069
","1822
","5891
","18263
","548
","22540
","12896
","31
","34935
"
ANA,2018-06-21,1,"4831
","1939
","6770
","20473
","615
","25963
","14869
","36
","38963
"
ANA,2018-06-22,1,"5141
","1934
","7075
","20502
","609
","26867
","14890
","28
","39823
"
ANA,2018-06-23,0,"5240
","1877
","7117
","20694
","664
","27079
","15263
","34
","39495
"
ANA,2018-06-24,0,"4614
","1624
","6238
","17671
","545
","23319
","13049
","23
","34185
"
ANA,2018-08-06,1,"4299
","1709
","6008
","15838
","469
","20803
","11382
","24
","31073
"
ANA,2018-08-07,1,"4695
","1976
","6671
","17023
","486
","22487
","12160
","15
","33871
"
ANA,2018-08-08,1,"4643
","1906
","6549
","17137
","439
","22649
","12369
","18
","33566
"
ANA,2018-08-10,1,"4483
","1861
","6344
","17566
","490
","23044
","12523
","25
","34592
"
ANA,2018-08-11,0,"3979
","1443
","5422
","15432
","460
","20336
","11203
","21
","29989
"
ANA,2018-08-12,0,"4020
","1452
","5472
","16261
","436
","21358
","12064
","24
","30925
"
ANA,2018-08-24,0,"4286
","1599
","5885
","16491
","472
","21646
","11854
","11
","32124
"
ANA,2018-08-25,0,"3973
","1393
","5366
","15868
","514
","20565
","11678
","24
","30221
"
ANA,2018-08-26,0,"3932
","1367
","5299
","15198
","463
","20053
","11052
","19
","29790
"
ANA,2018-08-27,1,"3812
","1613
","5425
","15810
","403
","20365
","11361
","18
","30602
"
ANA,2018-08-28,0,"3902
","1510
","5412
","15840
","437
","20324
","11370
","19
","30690
"
ANA,2018-09-10,0,"4266
","1752
","6018
","16286
","519
","21306
","11572
","23
","32225
"
ANA,2018-09-11,1,"4227
","1692
","5919
","16610
","498
","21398
","11914
","26
","32543
"
ANA,2018-09-12,1,"3936
","1731
","5667
","16069
","385
","20849
","11537
","17
","31437
"
ANA,2018-09-13,0,"4194
","1707
","5901
","15726
","453
","20566
","11274
","23
","31184
"
ANA,2018-09-14,0,"4355
","1691
","6046
","16511
","424
","21533
","11926
","20
","32156
"
ANA,2018-09-15,0,"4038
","1498
","5536
","15686
","406
","20669
","11328
","18
","30689
"
ANA,2018-09-16,1,"4050
","1451
","5501
","17187
","480
","21731
","12512
","37
","32441
"
ANA,2018-09-24,1,"3796
","1575
","5371
","15588
","485
","20157
","11028
","31
","30528
"
ANA,2018-09-25,1,"4240
","1665
","5905
","16233
","450
","21313
","11774
","21
","31865
"
ANA,2018-09-26,1,"3887
","1777
","5664
","16168
","479
","20763
","11379
","23
","31802
"
ANA,2018-09-28,1,"3968
","1735
","5703
","18301
","498
","22830
","12804
","31
","35697
"
ANA,2018-09-29,0,"3513
","1406
","4919
","15178
","446
","19846
","11070
","14
","29748
"
ANA,2018-09-30,1,"3667
","1448
","5115
","16048
","457
","20993
","11834
","16
","31018
"
