winLoss,hapSENsox,sadSENsox,neuSENsox,posPOLsox,neuPOLsox,negPOLsox,yesCOGsox,noCOGsox
1,208,83,291,23711,762,32356,24,47403
0,165,70,235,22525,739,31170,25,44691
0,248,89,337,22454,736,30825,34,45143
0,205,75,280,21929,720,30576,33,44764
0,198,64,262,22225,725,31078,18,45978
0,200,71,271,22968,668,31698,18,47002
1,167,100,272,24083,682,31545,29,47300
1,146,74,220,23136,775,31600,27,46633
0,148,72,220,23548,762,32128,27,47291
1,150,66,216,24433,734,33683,33,49482
1,136,79,215,22712,658,30761,33,45428
1,143,95,238,24253,715,31068,26,47256
0,193,86,279,25027,661,33414,16,49671
1,188,76,264,22794,670,31196,39,46258
0,166,90,256,22602,641,31404,30,45847
0,142,89,231,22925,757,31669,17,45162
0,134,89,223,21945,667,30109,28,43659
1,191,100,299,24152,748,31944,27,48475
0,154,69,223,22105,641,30467,23,45182
1,167,82,249,25493,799,33729,25,51343
0,162,84,246,25359,768,34145,33,51018
1,143,74,217,23552,684,32152,26,46592
0,146,78,224,23030,775,30676,25,45059
1,170,62,232,23148,879,31191,34,46203
1,122,77,199,22806,616,29991,23,45139
1,178,66,244,24928,685,33160,30,50011
1,220,99,319,25129,707,33905,27,50895
1,217,86,303,25118,686,34088,20,50728
0,174,69,243,24530,696,33491,21,48787
1,175,82,257,23549,651,31367,33,46012
0,166,84,250,23012,704,31135,24,46035
1,160,77,237,26057,812,34115,36,51723
1,156,83,239,26221,775,35233,31,52411
1,168,78,246,27357,801,36905,38,54079
0,150,76,226,24570,761,32586,36,48021
0,121,70,191,22533,725,31842,27,46038
1,166,85,251,27884,761,37421,31,55205
0,159,88,247,23656,679,32163,24,46909
1,131,79,210,24799,661,33116,34,48573
1,122,70,192,26474,728,34220,34,51732
0,147,67,214,25541,849,35398,25,51860
0,154,74,228,25326,766,32731,26,48742
1,141,98,239,25423,786,33211,30,48813
1,133,76,209,23449,885,30930,31,46153
0,146,73,219,25503,799,33429,23,49820
0,144,65,209,25292,710,33305,33,50171
0,152,81,233,24086,651,31264,18,47195
0,155,63,218,24639,692,32950,24,49014
1,157,62,219,24395,765,31580,22,47076
0,113,73,186,22825,686,29760,34,43879
0,132,48,180,23549,680,31080,21,46791
0,161,88,249,27225,669,35112,22,52507
0,180,74,254,26719,757,35513,21,52330
0,148,62,210,25559,810,33739,27,50195
1,162,78,240,23836,714,31121,23,45873
0,143,63,206,23182,710,30788,21,44604
0,146,65,211,23780,629,31367,24,47008
1,146,90,236,25056,724,32718,22,49035
1,142,95,237,24310,650,32601,35,48003
1,157,84,241,23582,632,32306,23,47130
0,136,68,204,22093,732,29756,21,43200
1,134,65,199,22399,678,30168,28,44936
0,136,66,202,22097,579,29575,18,43733
0,131,53,184,22755,605,30638,20,45360
0,128,80,208,23247,684,31397,17,46406
0,202,86,288,26920,909,35256,36,52798
0,98,69,167,24327,763,32906,29,47590
1,113,67,180,24703,790,32398,36,47021
1,126,54,180,22038,695,29369,20,43257
0,118,61,179,22932,770,30064,15,45282
0,148,68,216,22399,767,29657,17,44454
0,123,92,215,24925,748,32858,28,49295
1,132,66,198,23460,586,31149,27,46792
1,136,52,188,22429,607,29785,26,44749
0,102,48,150,23616,624,31349,16,45946
1,43,28,71,8241,434,10436,17,15235
